DATE,IPUTIL
1958-05-01,17.4097
1958-06-01,17.5874
1958-07-01,17.6635
1958-08-01,17.8665
1958-09-01,18.0442
1958-10-01,18.1457
1958-11-01,18.2472
1958-12-01,18.5010
1959-01-01,18.7802
1959-02-01,18.9071
1959-03-01,19.0593
1959-04-01,19.1862
1959-05-01,19.4654
1959-06-01,19.6684
1959-07-01,19.7699
1959-08-01,19.5669
1959-09-01,19.8714
1959-10-01,19.8207
1959-11-01,19.9983
1959-12-01,20.3790
1960-01-01,20.4298
1960-02-01,20.6074
1960-03-01,20.9627
1960-04-01,20.9119
1960-05-01,20.7089
1960-06-01,20.8104
1960-07-01,20.8612
1960-08-01,21.0135
1960-09-01,21.1150
1960-10-01,21.0896
1960-11-01,21.1403
1960-12-01,21.1657
1961-01-01,21.1911
1961-02-01,21.2673
1961-03-01,21.2926
1961-04-01,21.6479
1961-05-01,22.1047
1961-06-01,22.0286
1961-07-01,22.0286
1961-08-01,22.3585
1961-09-01,22.5869
1961-10-01,22.7392
1961-11-01,22.7646
1961-12-01,22.8661
1962-01-01,23.2214
1962-02-01,23.1453
1962-03-01,23.3229
1962-04-01,23.2214
1962-05-01,23.6021
1962-06-01,23.7797
1962-07-01,23.9828
1962-08-01,23.8813
1962-09-01,23.9574
1962-10-01,24.0843
1962-11-01,24.3381
1962-12-01,24.3888
1963-01-01,24.8710
1963-02-01,25.2009
1963-03-01,24.9979
1963-04-01,24.9218
1963-05-01,25.2009
1963-06-01,25.3532
1963-07-01,25.2010
1963-08-01,25.3532
1963-09-01,25.5816
1963-10-01,25.7846
1963-11-01,26.0130
1963-12-01,26.0892
1964-01-01,26.5206
1964-02-01,26.5714
1964-03-01,26.7744
1964-04-01,27.2058
1964-05-01,27.4089
1964-06-01,27.7134
1964-07-01,27.9418
1964-08-01,27.9418
1964-09-01,28.0180
1964-10-01,28.1195
1964-11-01,28.0433
1964-12-01,28.3733
1965-01-01,28.2971
1965-02-01,28.4494
1965-03-01,28.7793
1965-04-01,29.2107
1965-05-01,29.0331
1965-06-01,29.2107
1965-07-01,28.9823
1965-08-01,29.1600
1965-09-01,29.7183
1965-10-01,30.1498
1965-11-01,29.9467
1965-12-01,30.0990
1966-01-01,30.1498
1966-02-01,30.6066
1966-03-01,30.6827
1966-04-01,30.8857
1966-05-01,31.0888
1966-06-01,31.5202
1966-07-01,32.0278
1966-08-01,32.1039
1966-09-01,32.0785
1966-10-01,32.0278
1966-11-01,32.3323
1966-12-01,32.3577
1967-01-01,32.2421
1967-02-01,32.3294
1967-03-01,32.0484
1967-04-01,33.3853
1967-05-01,33.0441
1967-06-01,32.7396
1967-07-01,32.9054
1967-08-01,32.4415
1967-09-01,32.7055
1967-10-01,34.0952
1967-11-01,34.1344
1967-12-01,34.8175
1968-01-01,34.6758
1968-02-01,34.5126
1968-03-01,35.0929
1968-04-01,35.1008
1968-05-01,35.5331
1968-06-01,35.9219
1968-07-01,35.5496
1968-08-01,35.8345
1968-09-01,36.3860
1968-10-01,36.3534
1968-11-01,36.5777
1968-12-01,37.8564
1969-01-01,37.6128
1969-02-01,37.8736
1969-03-01,38.2919
1969-04-01,38.0979
1969-05-01,38.1249
1969-06-01,38.8424
1969-07-01,39.4570
1969-08-01,39.6534
1969-09-01,39.2379
1969-10-01,39.5325
1969-11-01,40.1185
1969-12-01,40.1132
1970-01-01,40.1898
1970-02-01,40.1787
1970-03-01,40.7112
1970-04-01,40.9474
1970-05-01,41.7097
1970-06-01,40.8763
1970-07-01,41.4930
1970-08-01,42.0417
1970-09-01,42.2876
1970-10-01,41.6569
1970-11-01,41.8364
1970-12-01,41.7903
1971-01-01,42.8312
1971-02-01,42.5723
1971-03-01,42.9336
1971-04-01,43.0757
1971-05-01,43.4480
1971-06-01,43.7936
1971-07-01,43.5892
1971-08-01,43.2244
1971-09-01,43.4757
1971-10-01,44.1022
1971-11-01,43.4754
1971-12-01,43.2271
1972-01-01,44.0210
1972-02-01,46.0774
1972-03-01,46.2788
1972-04-01,46.1532
1972-05-01,45.5746
1972-06-01,45.2707
1972-07-01,44.8215
1972-08-01,45.7705
1972-09-01,46.3269
1972-10-01,46.8549
1972-11-01,47.6026
1972-12-01,47.6435
1973-01-01,48.0317
1973-02-01,48.4228
1973-03-01,48.1028
1973-04-01,48.2594
1973-05-01,48.7907
1973-06-01,49.3992
1973-07-01,48.8283
1973-08-01,49.2654
1973-09-01,50.5582
1973-10-01,50.2368
1973-11-01,49.4440
