DATE,IPB54100S
1947-01-01,24.0119
1947-02-01,24.7328
1947-03-01,25.0031
1947-04-01,25.2283
1947-05-01,25.5437
1947-06-01,25.5887
1947-07-01,24.9580
1947-08-01,25.3184
1947-09-01,25.5437
1947-10-01,25.4986
1947-11-01,25.9942
1947-12-01,26.0392
1948-01-01,27.2105
1948-02-01,26.9402
1948-03-01,27.0303
1948-04-01,26.8501
1948-05-01,27.0754
1948-06-01,26.7601
1948-07-01,27.4808
1948-08-01,27.3908
1948-09-01,27.0303
1948-10-01,27.6160
1948-11-01,26.8051
1948-12-01,26.5798
1949-01-01,25.8590
1949-02-01,25.3184
1949-03-01,25.0031
1949-04-01,24.5976
1949-05-01,24.3273
1949-06-01,24.2822
1949-07-01,24.0119
1949-08-01,24.2372
1949-09-01,25.0031
1949-10-01,24.1922
1949-11-01,25.0031
1949-12-01,26.0843
1950-01-01,25.7689
1950-02-01,26.7600
1950-03-01,27.3907
1950-04-01,28.8324
1950-05-01,29.1027
1950-06-01,30.1388
1950-07-01,30.9047
1950-08-01,31.4904
1950-09-01,31.5805
1950-10-01,31.8508
1950-11-01,31.8958
1950-12-01,31.9408
1951-01-01,32.2112
1951-02-01,31.8958
1951-03-01,32.0310
1951-04-01,31.8958
1951-05-01,31.6706
1951-06-01,31.4453
1951-07-01,30.6794
1951-08-01,30.5443
1951-09-01,30.4992
1951-10-01,30.2290
1951-11-01,29.9586
1951-12-01,30.0487
1952-01-01,30.4542
1952-02-01,30.6794
1952-03-01,30.4992
1952-04-01,30.0037
1952-05-01,29.5532
1952-06-01,29.3730
1952-07-01,29.3279
1952-08-01,31.3102
1952-09-01,31.6255
1952-10-01,32.0760
1952-11-01,32.6166
1952-12-01,32.7518
1953-01-01,33.2924
1953-02-01,33.7879
1953-03-01,33.8780
1953-04-01,34.0132
1953-05-01,33.2924
1953-06-01,33.0671
1953-07-01,33.5176
1953-08-01,33.3825
1953-09-01,32.7518
1953-10-01,32.8419
1953-11-01,32.3013
1953-12-01,31.5354
1954-01-01,32.1210
1954-02-01,32.2112
1954-03-01,31.9859
1954-04-01,31.9859
1954-05-01,32.3914
1954-06-01,31.6255
1954-07-01,31.5805
1954-08-01,31.4003
1954-09-01,32.9770
1954-10-01,34.0582
1954-11-01,34.3736
1954-12-01,34.6889
1955-01-01,35.1845
1955-02-01,35.6801
1955-03-01,36.8514
1955-04-01,37.1217
1955-05-01,37.2569
1955-06-01,37.9326
1955-07-01,37.9776
1955-08-01,37.9777
1955-09-01,38.2029
1955-10-01,38.2029
1955-11-01,38.6534
1955-12-01,38.8786
1956-01-01,39.5094
1956-02-01,39.3742
1956-03-01,39.2841
1956-04-01,39.1039
1956-05-01,38.5633
1956-06-01,38.1128
1956-07-01,36.1306
1956-08-01,37.9776
1956-09-01,38.9688
1956-10-01,38.6985
1956-11-01,38.3831
1956-12-01,39.1039
1957-01-01,38.5183
1957-02-01,39.6896
1957-03-01,39.0588
1957-04-01,38.2029
1957-05-01,38.0227
1957-06-01,38.2930
1957-07-01,38.3831
1957-08-01,38.0678
1957-09-01,37.8425
1957-10-01,37.3920
1957-11-01,36.9415
1957-12-01,36.3558
1958-01-01,35.9053
1958-02-01,34.7340
1958-03-01,34.5538
1958-04-01,34.1033
1958-05-01,35.2746
1958-06-01,36.6712
1958-07-01,36.4459
1958-08-01,38.0677
1958-09-01,38.1578
1958-10-01,38.1128
1958-11-01,39.5995
1958-12-01,39.1039
1959-01-01,39.8698
1959-02-01,40.9510
1959-03-01,41.9871
1959-04-01,43.2035
1959-05-01,43.5639
1959-06-01,43.3837
1959-07-01,41.6718
1959-08-01,39.0589
1959-09-01,38.6084
1959-10-01,38.7435
1959-11-01,40.0500
1959-12-01,43.2035
1960-01-01,42.8881
1960-02-01,42.4376
1960-03-01,41.1312
1960-04-01,41.1312
1960-05-01,40.7258
1960-06-01,39.9599
1960-07-01,40.3653
1960-08-01,39.3742
1960-09-01,39.0138
1960-10-01,39.1039
1960-11-01,38.6534
1960-12-01,38.1578
1961-01-01,37.7974
1961-02-01,37.7524
1961-03-01,38.6083
1961-04-01,39.5995
1961-05-01,39.7346
1961-06-01,40.5906
1961-07-01,41.2213
1961-08-01,41.7169
1961-09-01,42.0773
1961-10-01,42.3926
1961-11-01,42.0772
1961-12-01,42.3926
1962-01-01,40.4104
1962-02-01,42.7530
1962-03-01,43.2936
1962-04-01,42.7080
1962-05-01,42.6629
1962-06-01,42.9783
1962-07-01,42.7981
1962-08-01,43.5639
1962-09-01,44.0595
1962-10-01,43.3387
1962-11-01,43.5189
1962-12-01,43.8793
1963-01-01,42.7980
1963-02-01,42.8882
1963-03-01,43.3837
1963-04-01,44.8704
1963-05-01,45.8615
1963-06-01,45.6813
1963-07-01,45.5011
1963-08-01,45.6362
1963-09-01,45.3209
1963-10-01,45.9966
1963-11-01,46.5373
1963-12-01,45.8615
1964-01-01,46.1318
1964-02-01,47.3482
1964-03-01,47.4833
1964-04-01,47.6635
1964-05-01,47.8888
1964-06-01,47.5734
1964-07-01,48.4744
1964-08-01,47.9789
1964-09-01,47.6185
1964-10-01,47.7987
1964-11-01,48.9249
1964-12-01,48.2942
1965-01-01,48.6546
1965-02-01,49.9161
1965-03-01,50.3215
1965-04-01,49.6007
1965-05-01,50.0963
1965-06-01,50.1413
1965-07-01,51.5379
1965-08-01,51.0423
1965-09-01,50.5918
1965-10-01,51.3577
1965-11-01,52.0785
1965-12-01,53.2048
1966-01-01,53.1146
1966-02-01,52.6191
1966-03-01,53.6553
1966-04-01,53.6552
1966-05-01,53.9255
1966-06-01,53.1597
1966-07-01,53.6552
1966-08-01,52.0785
1966-09-01,52.0785
1966-10-01,52.1235
1966-11-01,52.1686
1966-12-01,52.0785
1967-01-01,53.5134
1967-02-01,53.0006
1967-03-01,53.0987
1967-04-01,52.9367
1967-05-01,53.7795
1967-06-01,54.0809
1967-07-01,54.3387
1967-08-01,54.8872
1967-09-01,55.3477
1967-10-01,55.0510
1967-11-01,55.4396
1967-12-01,55.3744
1968-01-01,55.7507
1968-02-01,56.3156
