DATE,IPG333S
1972-01-01,59.2075
1972-02-01,60.4079
1972-03-01,60.5221
1972-04-01,61.8711
1972-05-01,63.2376
1972-06-01,64.0767
1972-07-01,64.3935
1972-08-01,65.2038
1972-09-01,65.6385
1972-10-01,66.8214
1972-11-01,67.7993
1972-12-01,68.6637
1973-01-01,69.5611
1973-02-01,70.9082
1973-03-01,71.7352
1973-04-01,72.3884
1973-05-01,73.3800
1973-06-01,73.5563
1973-07-01,74.5092
1973-08-01,75.0318
1973-09-01,75.6839
1973-10-01,76.4033
1973-11-01,76.6848
1973-12-01,77.4521
1974-01-01,77.8359
1974-02-01,77.5735
1974-03-01,78.3602
1974-04-01,76.6315
1974-05-01,78.1266
1974-06-01,78.3435
1974-07-01,77.3645
1974-08-01,77.3094
1974-09-01,78.2018
1974-10-01,78.2899
1974-11-01,77.1798
1974-12-01,74.8071
1975-01-01,73.4564
1975-02-01,71.3519
1975-03-01,69.3114
1975-04-01,68.4861
1975-05-01,66.0155
1975-06-01,64.7694
1975-07-01,65.3199
1975-08-01,65.2996
1975-09-01,65.8015
1975-10-01,66.3731
1975-11-01,66.5731
1975-12-01,66.8020
1976-01-01,67.8495
1976-02-01,68.1270
1976-03-01,68.5157
1976-04-01,69.2795
1976-05-01,69.7149
1976-06-01,69.7345
1976-07-01,70.9097
1976-08-01,71.8417
1976-09-01,71.9729
1976-10-01,71.3754
1976-11-01,72.6154
1976-12-01,72.5775
1977-01-01,72.0941
1977-02-01,73.8194
1977-03-01,74.3460
1977-04-01,74.9996
1977-05-01,75.5340
1977-06-01,75.9399
1977-07-01,77.0182
1977-08-01,78.6896
1977-09-01,78.9120
1977-10-01,79.5193
1977-11-01,80.1137
1977-12-01,80.6802
1978-01-01,78.7396
1978-02-01,80.1791
1978-03-01,81.1176
1978-04-01,81.5137
1978-05-01,81.2681
1978-06-01,82.4758
1978-07-01,82.2966
1978-08-01,83.1704
1978-09-01,83.3992
1978-10-01,85.2367
1978-11-01,85.8257
1978-12-01,87.1424
1979-01-01,87.0914
1979-02-01,87.8756
1979-03-01,87.9544
1979-04-01,86.9286
1979-05-01,88.0973
1979-06-01,88.7708
1979-07-01,88.7177
1979-08-01,87.3027
1979-09-01,88.0871
1979-10-01,86.4746
1979-11-01,85.0211
1979-12-01,85.1015
1980-01-01,88.3758
1980-02-01,87.2988
1980-03-01,86.8477
1980-04-01,85.5428
1980-05-01,83.6305
1980-06-01,80.5966
1980-07-01,80.4162
1980-08-01,78.9038
1980-09-01,80.0193
1980-10-01,80.8245
1980-11-01,81.5257
1980-12-01,82.0247
1981-01-01,82.2653
1981-02-01,80.9244
1981-03-01,81.5880
1981-04-01,82.3227
1981-05-01,82.5254
1981-06-01,82.5475
1981-07-01,83.0814
1981-08-01,82.9002
1981-09-01,83.2931
1981-10-01,82.6952
1981-11-01,81.8327
1981-12-01,80.1496
1982-01-01,76.3152
1982-02-01,78.8287
1982-03-01,76.2731
1982-04-01,74.3354
1982-05-01,72.5978
1982-06-01,69.0840
1982-07-01,67.0960
1982-08-01,64.7835
1982-09-01,63.5046
1982-10-01,61.6029
1982-11-01,60.4068
1982-12-01,59.5608
1983-01-01,59.2432
1983-02-01,58.1486
1983-03-01,58.3007
1983-04-01,58.7306
1983-05-01,60.1733
1983-06-01,60.7116
1983-07-01,62.5697
1983-08-01,62.5003
1983-09-01,63.8698
1983-10-01,65.1812
1983-11-01,66.3313
1983-12-01,68.0103
1984-01-01,68.5840
1984-02-01,69.7702
1984-03-01,70.4232
1984-04-01,71.8219
1984-05-01,71.9417
1984-06-01,72.8114
1984-07-01,73.0680
1984-08-01,73.6122
1984-09-01,74.2734
1984-10-01,74.1562
1984-11-01,73.6609
1984-12-01,73.6527
1985-01-01,72.3162
1985-02-01,71.7062
1985-03-01,73.5029
1985-04-01,72.4024
1985-05-01,73.2874
1985-06-01,72.6710
1985-07-01,72.3707
1985-08-01,72.6439
1985-09-01,71.8748
1985-10-01,72.1456
1985-11-01,72.6830
1985-12-01,72.5940
1986-01-01,73.0860
1986-02-01,72.5258
1986-03-01,73.0427
1986-04-01,72.5777
1986-05-01,72.2240
1986-06-01,71.5992
1986-07-01,71.1868
1986-08-01,70.8896
1986-09-01,70.1968
1986-10-01,69.9913
1986-11-01,69.4112
1986-12-01,69.7726
1987-01-01,68.8260
1987-02-01,70.3475
1987-03-01,70.0308
1987-04-01,70.7833
1987-05-01,71.8636
1987-06-01,72.3232
1987-07-01,72.5209
1987-08-01,73.3540
1987-09-01,73.8310
1987-10-01,75.5120
1987-11-01,76.2780
1987-12-01,78.3153
1988-01-01,77.0962
1988-02-01,77.1256
1988-03-01,78.5433
1988-04-01,79.6543
1988-05-01,78.6997
1988-06-01,79.5279
1988-07-01,80.1799
1988-08-01,81.4632
1988-09-01,81.3964
1988-10-01,82.7592
1988-11-01,83.0436
1988-12-01,83.0533
1989-01-01,84.7011
1989-02-01,83.3299
1989-03-01,82.4451
1989-04-01,84.2287
1989-05-01,81.8669
1989-06-01,84.1652
1989-07-01,83.4254
1989-08-01,83.3153
1989-09-01,83.0248
1989-10-01,82.3647
1989-11-01,82.3536
1989-12-01,83.2374
1990-01-01,84.3048
1990-02-01,82.7969
1990-03-01,82.4171
1990-04-01,81.4983
1990-05-01,82.0684
1990-06-01,80.8326
1990-07-01,81.1934
1990-08-01,80.8552
1990-09-01,80.4552
1990-10-01,80.3057
1990-11-01,79.3582
1990-12-01,78.1293
1991-01-01,77.5872
1991-02-01,78.4111
1991-03-01,77.5338
1991-04-01,76.2042
1991-05-01,75.5166
1991-06-01,76.0261
1991-07-01,74.6329
1991-08-01,76.2839
1991-09-01,76.6330
1991-10-01,75.8407
1991-11-01,75.4003
1991-12-01,73.8434
1992-01-01,72.4779
1992-02-01,74.9071
1992-03-01,75.1548
1992-04-01,76.4846
1992-05-01,76.7673
1992-06-01,76.6486
1992-07-01,77.0780
1992-08-01,75.7722
1992-09-01,76.3667
1992-10-01,75.8108
1992-11-01,76.6556
1992-12-01,77.2958
1993-01-01,78.1108
1993-02-01,79.1334
1993-03-01,79.3630
1993-04-01,80.1173
1993-05-01,81.3003
1993-06-01,80.1345
1993-07-01,82.2375
1993-08-01,81.2093
1993-09-01,82.2563
1993-10-01,84.4899
1993-11-01,84.7433
1993-12-01,86.0898
1994-01-01,86.2842
1994-02-01,85.5570
1994-03-01,87.1094
1994-04-01,87.5527
1994-05-01,88.4549
1994-06-01,89.3250
1994-07-01,92.1252
1994-08-01,89.4737
1994-09-01,89.7687
1994-10-01,90.9047
1994-11-01,92.3120
1994-12-01,93.6352
1995-01-01,94.3929
1995-02-01,93.2256
1995-03-01,93.8018
1995-04-01,93.9888
1995-05-01,94.4726
1995-06-01,94.5316
1995-07-01,93.5534
1995-08-01,96.1596
1995-09-01,97.2588
1995-10-01,98.4982
1995-11-01,98.7218
1995-12-01,99.9613
1996-01-01,98.3330
1996-02-01,99.0461
1996-03-01,98.0346
1996-04-01,97.7511
1996-05-01,98.3353
1996-06-01,99.4764
1996-07-01,97.8183
1996-08-01,99.6610
1996-09-01,99.9335
1996-10-01,98.8627
1996-11-01,99.6721
1996-12-01,101.4900
1997-01-01,101.6184
1997-02-01,102.2276
1997-03-01,102.7131
1997-04-01,103.6197
1997-05-01,102.9943
1997-06-01,103.6011
1997-07-01,102.1366
1997-08-01,106.2191
1997-09-01,105.4755
1997-10-01,106.8967
1997-11-01,108.0435
1997-12-01,108.5582
1998-01-01,109.5095
1998-02-01,108.0183
1998-03-01,107.1619
1998-04-01,107.2868
1998-05-01,108.2072
1998-06-01,107.8608
1998-07-01,107.5039
1998-08-01,106.6972
1998-09-01,106.3249
1998-10-01,106.2682
1998-11-01,106.2972
1998-12-01,106.6353
